X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
776795.826396595,1414843.31215655,3,10208.00000,9421.00000,8883.00000,8146.00000,8312.00000,6601.00000,5962.00000,5342.00000
779290.43567872,1415621.53476514,3,9980.00000,9154.00000,8394.00000,7722.00000,13083.00000,10144.00000,7623.00000,5245.00000
779137.655780102,1415664.50411162,3,10061.00000,9277.00000,8650.00000,8110.00000,14209.00000,12244.00000,8943.00000,5250.00000
778256.784177131,1415559.46793132,3,9989.00000,9186.00000,8419.00000,7688.00000,13282.00000,10177.00000,7574.00000,5271.00000
779190.173870253,1415210.9387876,3,9977.00000,9147.00000,8363.00000,7618.00000,13758.00000,10176.00000,7558.00000,5214.00000
788564.652962029,1431467.67487494,3,10186.00000,9399.00000,9111.00000,8123.00000,20743.00000,10935.00000,7658.00000,5179.00000
789242.613762147,1431945.11205813,3,10300.00000,9530.00000,9031.00000,8071.00000,18976.00000,10119.00000,7241.00000,5269.00000
787428.352466054,1430856.55528047,3,10017.00000,9279.00000,8849.00000,8065.00000,17020.00000,11362.00000,8098.00000,5178.00000
787304.218798428,1433162.57687524,3,10778.00000,10270.00000,10280.00000,9861.00000,12354.00000,10865.00000,8505.00000,5284.00000
786505.705109556,1429553.15177038,3,10174.00000,9395.00000,8836.00000,7979.00000,16613.00000,9604.00000,7299.00000,5197.00000
788226.866154925,1429137.78142101,3,10060.00000,9274.00000,8549.00000,7869.00000,12614.00000,10364.00000,7879.00000,5161.00000
788207.768667599,1428650.79549417,3,10147.00000,9356.00000,8640.00000,8048.00000,12816.00000,10587.00000,7996.00000,5166.00000
795727.404302713,1432514.45589907,3,10126.00000,9415.00000,9002.00000,8315.00000,17144.00000,11606.00000,8306.00000,5205.00000
795701.145257638,1433326.09911048,3,10102.00000,9374.00000,8730.00000,8194.00000,14863.00000,10308.00000,7561.00000,5165.00000
799864.397494985,1434233.22975852,3,9911.00000,9133.00000,8870.00000,7779.00000,19821.00000,10212.00000,7224.00000,5152.00000
799157.790463874,1433593.46393306,3,9923.00000,9181.00000,8837.00000,8076.00000,18514.00000,11699.00000,8249.00000,5149.00000
801621.366329094,1435245.39658687,3,9937.00000,9213.00000,8914.00000,8147.00000,19743.00000,11535.00000,8198.00000,5117.00000
803340.140188548,1432829.56443997,3,10007.00000,9319.00000,8890.00000,8626.00000,14512.00000,12702.00000,9880.00000,5109.00000
804791.549225423,1432447.61469342,3,9999.00000,9313.00000,8865.00000,8711.00000,14326.00000,13403.00000,9814.00000,5113.00000
805708.228617133,1429544.79661968,3,10060.00000,9388.00000,9074.00000,9027.00000,13551.00000,13123.00000,10393.00000,5141.00000
804361.855760557,1431702.81268766,1,10351.00000,9865.00000,9769.00000,10578.00000,15471.00000,17785.00000,13520.00000,5136.00000
769970.861863006,1456280.08528491,3,10337.00000,9580.00000,8822.00000,8397.00000,12756.00000,12114.00000,9048.00000,5143.00000
769421.809102348,1453997.9355493,3,10145.00000,9335.00000,8564.00000,7824.00000,14046.00000,9104.00000,6939.00000,5105.00000
769109.087747363,1456511.64231875,3,10221.00000,9448.00000,8945.00000,8193.00000,17378.00000,12134.00000,8424.00000,5114.00000
807805.371444257,1424346.69928778,3,9931.00000,9150.00000,8551.00000,8338.00000,14853.00000,11190.00000,8175.00000,5125.00000
809638.730227675,1421825.83096058,3,10196.00000,9533.00000,9168.00000,8953.00000,15822.00000,13802.00000,10702.00000,5111.00000
760171.463678199,1450099.66094862,3,10036.00000,9243.00000,8607.00000,8090.00000,14210.00000,10102.00000,7679.00000,5125.00000
756538.166714184,1453145.71017732,3,10464.00000,9888.00000,9847.00000,9339.00000,8087.00000,6194.00000,5702.00000,5112.00000
758934.901373754,1440550.91728497,3,10201.00000,9500.00000,8978.00000,8757.00000,15171.00000,13483.00000,9736.00000,5185.00000
758075.514444027,1442155.10622047,3,10041.00000,9283.00000,8715.00000,8256.00000,14436.00000,10810.00000,8219.00000,5153.00000
756490.422995864,1444838.30318995,3,10064.00000,9325.00000,8859.00000,9402.00000,11613.00000,12794.00000,10750.00000,5156.00000
763699.724461911,1447311.42779883,3,10115.00000,9360.00000,8687.00000,7948.00000,7626.00000,6076.00000,5620.00000,5139.00000
773582.674153777,1444427.70721241,3,10663.00000,9912.00000,9155.00000,8653.00000,12685.00000,11139.00000,8639.00000,5181.00000
764110.320439447,1425244.28119216,3,10189.00000,9449.00000,8815.00000,8444.00000,13657.00000,11485.00000,8548.00000,5254.00000
761971.401858792,1425301.57365415,1,10483.00000,9912.00000,9733.00000,10556.00000,14911.00000,18237.00000,14591.00000,5205.00000
804711.578497236,1446843.53935931,1,10754.00000,10333.00000,10724.00000,11868.00000,14324.00000,16511.00000,13555.00000,5079.00000
799727.134304817,1448170.81472856,3,10061.00000,9379.00000,8923.00000,8736.00000,13287.00000,13166.00000,9770.00000,5099.00000
808110.931241493,1441381.65798371,1,10366.00000,9848.00000,9956.00000,9768.00000,11005.00000,8804.00000,7203.00000,5087.00000
806096.146328463,1442011.87506551,1,10182.00000,9570.00000,9600.00000,10599.00000,14825.00000,17401.00000,13408.00000,5077.00000
811598.609864635,1430188.14322401,3,9808.00000,9057.00000,8466.00000,8214.00000,13694.00000,11743.00000,8691.00000,5112.00000
758407.333286339,1427567.01308834,3,10114.00000,9400.00000,8725.00000,8309.00000,13498.00000,10329.00000,7981.00000,5153.00000
759028.001624474,1431980.91984686,1,10692.00000,10236.00000,10399.00000,12155.00000,16345.00000,20557.00000,16772.00000,5163.00000
792116.785604897,1450868.33481353,3,9916.00000,9148.00000,8597.00000,7914.00000,14945.00000,8943.00000,6732.00000,5141.00000
791066.423801897,1451973.6018926,3,10133.00000,9451.00000,8944.00000,8542.00000,14466.00000,12291.00000,8804.00000,5179.00000
790560.340387726,1443809.42606019,1,10309.00000,9571.00000,9272.00000,9212.00000,13485.00000,9733.00000,7558.00000,5185.00000
788641.042911333,1445461.358714,1,11193.00000,10633.00000,10464.00000,10884.00000,12523.00000,12246.00000,10327.00000,5238.00000
791687.092140034,1441450.88637527,2,10804.00000,10260.00000,10155.00000,10434.00000,13818.00000,13600.00000,11278.00000,5124.00000
786435.283125033,1448774.77276528,2,11363.00000,11010.00000,11851.00000,14413.00000,17677.00000,22404.00000,15986.00000,5205.00000
